S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",lats,longs
109,Imphal,Moderate,102,SO2,1/2,24.8107515,93.9386097
110,Indore,Moderate,101,"PM10, PM2.5",5/6,22.7195687,75.8577258
111,Jabalpur,Moderate,121,"PM10, PM2.5",4/4,23.1685786,79.9338798
112,Jaipur,Moderate,156,"PM10, PM2.5",6/6,26.9124336,75.7872709
113,Jaisalmer,Moderate,104,O3,1/1,26.9157487,70.9083443
114,Jalandhar,Satisfactory,99,PM10,1/1,31.3260152,75.57618289999999
115,Jalgaon,Moderate,128,PM10,1/1,21.0076578,75.5626039
116,Jalna,Moderate,108,PM10,1/1,19.8346659,75.88163449999999
117,Jalore,Moderate,109,PM10,1/1,25.3474783,72.6226296
118,Jhalawar,Satisfactory,100,PM10,1/1,24.593906,76.1642846
119,Jhansi,Satisfactory,90,PM10,1/1,25.4487699,78.5697526
120,Jhunjhunu,Moderate,157,PM2.5,1/1,28.1317038,75.4022233
121,Jind,Moderate,137,PM2.5,1/1,29.325508,76.29979089999999
122,Jodhpur,Moderate,130,"PM10, O3",5/5,26.2389469,73.02430939999999
123,Kaithal,Moderate,105,PM10,1/1,29.8042758,76.4039016
124,Kalaburagi,Satisfactory,74,"PM2.5, CO",2/2,17.329731,76.8342957
125,Kalyan,Moderate,113,PM10,2/2,19.2403305,73.1305395
126,Kanchipuram,Good,35,PM10,1/1,12.8371787,79.7041698
127,Kannur,Satisfactory,56,PM10,1/1,11.8744775,75.37036619999999
128,Kanpur,Moderate,111,PM2.5,3/4,26.449923,80.3318736
129,Karauli,Moderate,105,O3,1/1,26.5049791,77.0267705
130,Karnal,Moderate,120,PM10,1/1,29.6856929,76.9904825
131,Karur,Good,36,PM10,1/1,10.9600778,78.07660360000001
132,Karwar,Satisfactory,79,PM10,1/1,14.8073777,74.129898
133,Kashipur,Moderate,165,PM2.5,1/1,29.2104232,78.9618845
134,Katihar,Poor,223,PM2.5,1/1,25.5540648,87.5591073
135,Katni,Moderate,110,PM10,1/1,23.8343441,80.38938139999999
136,Keonjhar,Satisfactory,77,PM10,1/1,21.6393113,85.60552500000001
137,Khanna,Satisfactory,94,PM2.5,1/1,30.70707689999999,76.2169907
138,Khurja,Moderate,166,PM10,1/1,28.2489801,77.854903
139,Kohima,Satisfactory,93,PM2.5,1/1,25.6751129,94.1085998
140,Kolar,Good,45,PM10,1/1,13.1362143,78.12909859999999
141,Kolhapur,Moderate,131,"PM10, PM2.5",2/2,16.7049873,74.24325270000001
142,Kolkata,Moderate,165,PM2.5,7/7,22.5743545,88.3628734
143,Kollam,Satisfactory,74,PM10,1/1,8.8932118,76.6141396
144,Koppal,Satisfactory,91,CO,1/1,15.3504652,76.1567298
145,Korba,Satisfactory,76,PM10,2/2,22.3594501,82.75005949999999
146,Kota,Moderate,162,PM2.5,3/3,25.2138156,75.8647527
147,Kunjemura,Moderate,117,PM10,1/1,22.1196254,83.4952996
148,Kurukshetra,Moderate,129,PM10,1/1,29.9695121,76.878282
149,Latur,Satisfactory,85,PM10,1/1,18.4087934,76.5603828
150,Lucknow,Moderate,185,PM2.5,5/6,26.8466937,80.94616599999999
151,Ludhiana,Moderate,189,PM2.5,1/1,30.900965,75.8572758
152,Madikeri,Good,31,PM2.5,1/1,12.4244205,75.7381856
153,Mahad,Moderate,144,PM2.5,1/1,18.0820208,73.42244099999999
154,Maihar,Good,40,CO,1/1,24.2657817,80.7624352
155,Malegaon,Moderate,116,PM2.5,1/1,20.5579034,74.5089457
156,Mandi Gobindgarh,Satisfactory,76,CO,1/1,30.66422799999999,76.29139049999999
157,Mandideep,Moderate,169,PM2.5,1/1,23.0992796,77.5114731
158,Mandikhera,Satisfactory,82,CO,1/1,27.8966318,76.99166749999999
159,Manesar,Moderate,148,PM2.5,1/1,28.3515381,76.9427774
160,Mangalore,Satisfactory,74,PM10,1/1,12.9141417,74.8559568
161,Manguraha,Moderate,120,PM10,1/1,26.5638594,84.60735369999999
162,Meerut,Moderate,153,"PM10, PM2.5",3/3,28.9844618,77.7064137
163,Mira-Bhayandar,Moderate,142,PM2.5,1/1,19.2952325,72.8543897
164,Moradabad,Satisfactory,91,"PM10, PM2.5",6/7,28.8386481,78.7733286
165,Motihari,Poor,217,PM2.5,1/1,26.6438482,84.9040337
166,Mumbai,Moderate,128,"PM2.5, O3",22/30,19.0759837,72.8776559
167,Munger,Moderate,181,PM2.5,1/1,25.3707993,86.47339029999999
168,Muzaffarnagar,Moderate,110,PM10,1/1,29.4726817,77.7085091
169,Muzaffarpur,Poor,232,PM2.5,3/3,26.1196607,85.390982
170,Mysuru,Good,40,PM10,1/1,12.2958104,76.6393805
171,Nagaon,Moderate,135,PM2.5,1/1,26.348009,92.6838111
172,Nagaur,Moderate,148,PM10,1/1,27.1983368,73.7493272
173,Nagpur,Moderate,167,PM2.5,4/4,21.1458004,79.0881546
174,Naharlagun,Satisfactory,79,PM10,1/1,27.1086309,93.6983979
