S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",lats,longs
148,Mumbai,Moderate,141,PM2.5,22/30,19.0759837,72.8776559
149,Munger,Moderate,128,PM10,1/1,25.3707993,86.47339029999999
150,Muzaffarnagar,Satisfactory,100,PM2.5,1/1,29.4726817,77.7085091
151,Muzaffarpur,Moderate,141,PM2.5,2/3,26.1196607,85.390982
152,Mysuru,Satisfactory,51,O3,1/1,12.2958104,76.6393805
153,Nagaon,Satisfactory,78,PM10,1/1,26.348009,92.6838111
154,Nagapattinam,Satisfactory,60,PM10,1/1,,
155,Nagaur,Moderate,134,PM10,1/1,27.1983368,73.7493272
156,Nagpur,Satisfactory,100,"PM10, PM2.5",4/4,21.1458004,79.0881546
157,Naharlagun,Satisfactory,80,PM2.5,1/1,27.1086309,93.6983979
158,Nanded,Moderate,159,PM2.5,1/1,,
159,Nashik,Moderate,151,"PM10, PM2.5",4/4,19.9974533,73.78980229999999
160,Navi Mumbai,Moderate,167,"PM10, PM2.5",5/8,19.0330488,73.0296625
161,Nayagarh,Moderate,177,PM2.5,1/1,,
162,Noida,Moderate,105,PM10,3/4,28.5355161,77.3910265
163,Ooty,Satisfactory,57,PM10,1/1,,
164,Pali,Moderate,175,PM2.5,1/1,25.7780623,73.331147
165,Palkalaiperur,Satisfactory,57,PM10,1/1,,
166,Parbhani,Moderate,120,PM10,1/1,19.2608384,76.774776
167,Patiala,Satisfactory,91,PM10,1/1,30.3397809,76.3868797
168,Patna,Moderate,179,PM2.5,5/6,25.5940947,85.1375645
169,Pimpri-Chinchwad,Moderate,154,"PM10, PM2.5",4/4,18.6297811,73.7997094
170,Pithampur,Moderate,155,O3,1/1,22.611121,75.6772689
171,Pratapgarh,Moderate,107,PM10,1/1,25.8973038,81.9452981
172,Prayagraj,Good,50,"SO2 , PM10",3/3,25.468338,81.85460189999999
173,Puducherry,Satisfactory,62,PM10,1/1,11.9415915,79.8083133
174,Pudukottai,Satisfactory,81,PM10,1/1,10.3832867,78.800129
175,Pune,Moderate,147,PM2.5,10/13,18.5204303,73.8567437
176,Purnia,Moderate,129,PM2.5,1/1,25.771665,87.47923589999999
177,Raichur,Moderate,119,CO,1/1,,
178,Raipur,Satisfactory,97,PM10,4/4,21.2513844,81.62964130000002
179,Rairangpur,Moderate,178,PM2.5,1/1,22.2709322,86.1700894
180,Rajamahendravaram,Satisfactory,98,PM10,1/1,17.0005383,81.8040345
181,Rajsamand,Satisfactory,73,O3,1/1,25.0583257,73.88600339999999
182,Ramanagara,Satisfactory,66,O3,1/1,,
183,Ramanathapuram,Good,37,PM10,1/1,,
184,Rishikesh,Satisfactory,67,PM10,1/1,30.1157619,78.28530169999999
185,Rourkela,Moderate,159,"PM10, PM2.5",2/3,22.260423,84.8535844
186,Rupnagar,Satisfactory,82,PM10,1/1,30.9661003,76.5230961
187,Sagar,Satisfactory,76,"PM10, O3",2/2,23.9259385,78.8382644
188,Saharsa,Moderate,173,PM2.5,1/1,25.8773651,86.5927887
189,Salem,Satisfactory,71,PM10,1/1,,
190,Samastipur,Moderate,117,PM10,1/1,25.8560271,85.7868233
191,Sangli,Moderate,155,O3,1/1,16.8523973,74.5814773
192,Sasaram,Moderate,189,PM2.5,1/1,24.9538803,84.01428659999999
193,Satna,Satisfactory,62,PM10,1/1,24.6005075,80.8322428
194,Sawai Madhopur,Moderate,127,PM10,1/1,26.012373,76.3560109
195,Sikar,Satisfactory,87,PM10,1/1,27.6093912,75.1397935
