S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",Lat,Lng
121,Karauli,Satisfactory,91,PM2.5,1/1,26.5049791,77.0267705
122,Karnal,Good,32,O3,1/1,29.6856929,76.9904825
123,Katihar,Satisfactory,99,PM2.5,1/1,25.5540648,87.5591073
124,Katni,Satisfactory,93,PM10,1/1,23.8343441,80.38938139999999
125,Keonjhar,Moderate,194,PM2.5,1/1,21.6392783,85.605494
126,Khanna,Satisfactory,77,PM10,1/1,30.70707689999999,76.2169907
127,Khurja,Satisfactory,99,PM10,1/1,28.2489801,77.854903
128,Kishanganj,Satisfactory,59,PM10,1/1,26.0982167,87.9450379
129,Kohima,Satisfactory,77,SO2,1/1,25.6742421,94.1085937
130,Kolhapur,Satisfactory,100,PM10,2/2,16.706369,74.2481772
131,Kolkata,Moderate,199,PM2.5,7/7,22.5743545,88.3628734
132,Kollam,Moderate,153,PM2.5,1/1,8.8932118,76.6141396
133,Korba,Satisfactory,94,"PM10, PM2.5",2/2,22.3594501,82.75005949999999
134,Kota,Moderate,190,"PM10, PM2.5",3/3,25.2138156,75.8647527
135,Kunjemura,Moderate,186,PM10,1/1,22.1196254,83.4952996
136,Kurukshetra,Moderate,106,PM10,1/1,29.9695121,76.878282
137,Latur,Satisfactory,100,PM2.5,1/1,18.4087934,76.5603828
138,Lucknow,Satisfactory,89,PM10,6/6,26.8466937,80.94616599999999
139,Ludhiana,Moderate,113,PM10,1/1,30.900965,75.8572758
140,Madikeri,Good,49,PM2.5,1/1,12.4244205,75.7381856
141,Madurai,Satisfactory,94,PM10,1/1,9.9252007,78.1197754
142,Mahad,Satisfactory,95,PM10,1/1,18.0820208,73.42244099999999
143,Malegaon,Moderate,122,PM10,1/1,20.5579034,74.5089457
144,Mandi Gobindgarh,Satisfactory,78,PM10,1/1,30.66422799999999,76.29139049999999
145,Mandideep,Moderate,116,NO2,1/1,23.0992796,77.5114731
146,Mandikhera,Satisfactory,93,PM10,1/1,27.8966318,76.99166749999999
147,Manesar,Moderate,141,PM2.5,1/1,28.3515381,76.9427774
148,Manguraha,Moderate,138,PM2.5,1/1,26.5638594,84.60735369999999
149,Meerut,Moderate,136,"PM10, PM2.5",3/3,28.9844618,77.7064137
150,Milupara,Moderate,195,O3,1/1,22.1870293,83.51902199999999
151,Mira-Bhayandar,Moderate,104,PM10,1/1,19.2952325,72.8543897
152,Moradabad,Satisfactory,71,PM10,6/7,28.8386481,78.7733286
153,Motihari,Satisfactory,71,PM2.5,1/1,26.6438482,84.9040337
154,Mumbai,Satisfactory,94,PM10,26/30,18.9581934,72.8320729
155,Munger,Moderate,113,PM2.5,1/1,25.3707993,86.47339029999999
156,Muzaffarnagar,Moderate,152,PM2.5,1/1,29.4726817,77.7085091
157,Muzaffarpur,Moderate,124,PM2.5,3/3,26.1196607,85.390982
158,Mysuru,Satisfactory,77,PM10,1/1,12.2958104,76.6393805
159,Nagaon,Moderate,127,PM2.5,1/1,26.348009,92.6838111
160,Nagapattinam,Satisfactory,100,PM2.5,1/1,10.7672313,79.8448512
161,Nagaur,Satisfactory,100,PM10,1/1,27.1983368,73.7493272
162,Nagpur,Moderate,144,PM2.5,4/4,21.1458004,79.0881546
163,Naharlagun,Moderate,199,PM2.5,1/1,27.1086309,93.6983979
164,Nalbari,Moderate,147,PM2.5,1/1,26.4446185,91.4410527
165,Narnaul,Poor,208,PM2.5,1/1,28.0687645,76.10678899999999
166,Nashik,Satisfactory,84,PM10,4/4,19.9993217,73.79001880000001
167,Navi Mumbai,Satisfactory,100,PM10,6/8,19.0330488,73.0296625
168,Noida,Poor,247,PM2.5,4/4,28.5355161,77.3910265
169,Pali,Satisfactory,99,PM2.5,1/1,25.7780623,73.331147
170,Palwal,Good,48,PM10,1/1,28.1472852,77.3259878
171,Pampore,Satisfactory,52,PM10,1/1,34.0060098,74.9238001
172,Panchgaon,Good,39,PM2.5,1/1,28.3154379,76.8970669
173,Panchkula,Satisfactory,100,PM2.5,1/1,30.6942091,76.860565
174,Panipat,Satisfactory,80,PM10,1/1,29.3909464,76.9635023
175,Parbhani,Satisfactory,90,PM10,1/1,19.2608384,76.774776
176,Patiala,Satisfactory,84,PM10,1/1,30.3397809,76.3868797
177,Patna,Moderate,103,PM10,6/6,25.5940947,85.1375645
178,Perundurai,Satisfactory,83,PM10,1/1,11.2746098,77.58270069999999
179,Pimpri-Chinchwad,Moderate,102,PM10,4/4,18.6263131,73.805498
180,Pithampur,Poor,240,PM2.5,1/1,22.611121,75.6772689
181,Pratapgarh,Moderate,145,PM2.5,1/1,25.9213561,81.98801999999999
182,Prayagraj,Satisfactory,57,"PM10, PM2.5",3/3,25.468338,81.85460189999999
183,Puducherry,Moderate,118,PM2.5,1/1,11.9415915,79.8083133
184,Pudukottai,Moderate,103,PM10,1/1,10.3832867,78.800129
185,Pune,Moderate,136,PM2.5,9/13,18.5246091,73.8786239
186,Purnia,Moderate,118,PM2.5,1/1,25.7771391,87.4752551
187,Raipur,Satisfactory,95,"PM10, PM2.5",4/4,21.2513844,81.62964130000002
188,Rairangpur,Moderate,108,PM10,1/1,22.2709322,86.1700894
189,Rajamahendravaram,Poor,202,PM2.5,1/1,17.0005383,81.8040345
190,Rajgir,Satisfactory,87,CO,1/1,25.0261746,85.4173739
191,Rajsamand,Moderate,107,PM2.5,1/1,25.0583257,73.88600339999999
192,Ramanagara,Moderate,134,PM10,1/1,12.7208614,77.27989629999999
193,Ramanathapuram,Satisfactory,81,PM10,1/1,9.3639356,78.8394819
194,Ratlam,Moderate,122,PM10,1/1,23.3315103,75.0366677
195,Rishikesh,Satisfactory,56,O3,1/1,30.1157619,78.28530169999999
196,Rohtak,Moderate,109,PM2.5,1/1,28.8955152,76.606611
197,Rourkela,Moderate,139,"PM10, PM2.5",3/3,22.260423,84.8535844
198,Rupnagar,Good,50,CO,1/1,30.9661003,76.5230961
199,Sagar,Satisfactory,96,PM10,2/2,23.9259385,78.8382644
200,Saharsa,Moderate,118,PM10,1/1,25.8773651,86.5927887
201,Samastipur,Satisfactory,90,PM2.5,1/1,25.8560271,85.7868233
